SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM
Date: 2026-06-12 14:37:04
Marqueur recherché: L-frame
==========================================================================================
CIBLE (°)  | RÉEL_MOT (°) | ERR_MOT (°)  | FRAME_QTM  | X (mm)     | Y (mm)     | Z (mm)    
==========================================================================================
120.0      | 302.17       | 81.45        | 20175      | 55.90      | 136.76     | 386.66    
110.0      | 289.78       | 83.18        | 20258      | 55.90      | 136.79     | 386.59    
100.0      | 274.92       | 83.28        | 20344      | 55.78      | 136.63     | 386.51    
90.0       | 259.89       | 83.26        | 20427      | 54.76      | 134.62     | 386.83    
80.0       | 245.04       | 83.36        | 20511      | 53.43      | 130.95     | 387.56    
70.0       | 230.01       | 83.34        | 20594      | 52.46      | 127.06     | 388.15    
60.0       | 215.24       | 83.50        | 20677      | 51.68      | 123.02     | 388.45    
50.0       | 200.21       | 83.48        | 20760      | 51.35      | 118.96     | 388.66    
40.0       | 185.19       | 83.46        | 20843      | 51.49      | 116.32     | 388.82    
30.0       | 170.33       | 83.55        | 20926      | 52.25      | 112.57     | 388.95    
20.0       | 155.39       | 83.59        | 21010      | 53.38      | 108.71     | 389.08    
10.0       | 140.45       | 83.63        | 21093      | 54.28      | 106.07     | 389.07    
0.0        | 125.60       | 83.73        | 21176      | 54.78      | 104.28     | 389.04    
-10.0      | 110.83       | 83.89        | 21259      | 55.21      | 103.05     | 388.99    
-20.0      | 95.71        | 83.81        | 21342      | 55.70      | 101.90     | 388.97    
-30.0      | 80.95        | 83.96        | 21426      | 56.24      | 100.56     | 388.95    
-40.0      | 66.18        | 84.12        | 21509      | 57.04      | 98.78      | 388.89    
-50.0      | 50.71        | 83.81        | 21592      | 57.80      | 97.18      | 388.86    
-60.0      | 36.21        | 84.14        | 21675      | 58.27      | 96.21      | 388.77    
-50.0      | 50.01        | 83.34        | 21758      | 58.28      | 96.15      | 388.75    
-40.0      | 64.86        | 83.24        | 21842      | 58.22      | 96.43      | 388.78    
-30.0      | 79.72        | 83.14        | 21925      | 58.10      | 97.01      | 388.82    
-20.0      | 94.75        | 83.16        | 22008      | 57.92      | 97.55      | 388.85    
-10.0      | 109.78       | 83.18        | 22091      | 57.70      | 98.13      | 388.87    
0.0        | 124.63       | 83.09        | 22174      | 57.30      | 99.34      | 388.88    
10.0       | 139.48       | 82.99        | 22258      | 56.45      | 101.68     | 388.85    
20.0       | 154.25       | 82.83        | 22341      | 55.29      | 104.44     | 388.67    
30.0       | 169.10       | 82.73        | 22424      | 54.52      | 107.23     | 388.55    
40.0       | 183.87       | 82.58        | 22507      | 53.67      | 109.99     | 388.46    
50.0       | 198.54       | 82.36        | 22590      | 53.22      | 112.67     | 388.35    
60.0       | 213.49       | 82.32        | 22674      | 52.78      | 116.16     | 388.10    
70.0       | 227.72       | 81.82        | 22757      | 52.58      | 119.75     | 387.92    
80.0       | 243.28       | 82.19        | 22842      | 52.55      | 120.89     | 387.82    
90.0       | 257.87       | 81.91        | 22925      | 52.88      | 124.31     | 387.50    
100.0      | 272.37       | 81.58        | 23008      | 53.50      | 128.02     | 387.17    
110.0      | 287.49       | 81.66        | 23091      | 53.79      | 129.44     | 387.08    
120.0      | 302.78       | 81.86        | 23174      | 54.09      | 130.65     | 386.98    
