SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM
Date: 2026-06-12 14:38:46
Marqueur recherché: L-frame
==========================================================================================
CIBLE (°)  | RÉEL_MOT (°) | ERR_MOT (°)  | FRAME_QTM  | X (mm)     | Y (mm)     | Z (mm)    
==========================================================================================
120.0      | 376.35       | 89.08        | 30313      | nan        | nan        | nan       
110.0      | 361.76       | 90.98        | 30396      | 65.36      | 146.56     | 392.58    
100.0      | 344.27       | 91.26        | 30479      | 65.25      | 146.52     | 392.55    
90.0       | 325.99       | 91.10        | 30562      | 63.02      | 143.93     | 393.03    
80.0       | 308.23       | 91.24        | 30646      | 60.71      | 139.43     | 394.12    
70.0       | 290.13       | 91.18        | 30729      | 58.41      | 134.77     | 394.85    
60.0       | 272.20       | 91.22        | 30812      | 56.50      | 130.48     | 395.06    
50.0       | 254.36       | 91.31        | 30895      | 55.16      | 126.56     | 395.20    
40.0       | 236.43       | 91.35        | 30978      | 54.57      | 123.52     | 395.33    
30.0       | 218.41       | 91.34        | 31062      | 54.22      | 120.05     | 395.51    
20.0       | 200.57       | 91.43        | 31145      | 54.03      | 117.04     | 395.58    
10.0       | 182.46       | 91.37        | 31228      | 55.53      | 115.17     | 395.31    
0.0        | 164.44       | 91.36        | 31311      | 55.53      | 113.93     | 395.28    
-10.0      | 146.69       | 91.49        | 31394      | 55.53      | 113.34     | 395.30    
-20.0      | 128.85       | 91.58        | 31478      | 55.54      | 112.69     | 395.31    
-30.0      | 111.01       | 91.67        | 31561      | 55.52      | 111.12     | 395.22    
-40.0      | 92.90        | 91.61        | 31644      | 55.58      | 110.41     | 395.21    
-50.0      | 74.88        | 91.60        | 31727      | 55.64      | 110.07     | 395.21    
-60.0      | 56.87        | 91.59        | 31810      | 55.64      | 109.97     | 395.25    
-50.0      | 73.83        | 91.02        | 31893      | 55.66      | 110.06     | 395.20    
-40.0      | 91.67        | 90.93        | 31977      | 55.67      | 110.35     | 395.24    
-30.0      | 109.69       | 90.94        | 32060      | 55.61      | 111.00     | 395.20    
-20.0      | 127.18       | 90.65        | 32143      | 55.64      | 112.62     | 395.18    
-10.0      | 145.20       | 90.66        | 32226      | 55.69      | 114.59     | 395.06    
0.0        | 162.77       | 90.43        | 32309      | 54.40      | 118.69     | 395.33    
10.0       | 180.70       | 90.39        | 32393      | 54.62      | 120.06     | 395.32    
20.0       | 198.37       | 90.21        | 32476      | 55.11      | 123.48     | 395.00    
30.0       | 215.68       | 89.82        | 32559      | 55.62      | 126.98     | 394.05    
40.0       | 235.20       | 90.66        | 32642      | 55.82      | 128.17     | 393.78    
50.0       | 252.33       | 90.19        | 32725      | 55.95      | 128.60     | 393.75    
60.0       | 270.70       | 90.39        | 32809      | 56.58      | 130.69     | 393.54    
70.0       | 287.49       | 89.72        | 32892      | 57.43      | 133.05     | 393.27    
80.0       | 305.51       | 89.73        | 32975      | 58.05      | 134.51     | 393.14    
90.0       | 323.53       | 89.74        | 33058      | 60.28      | 139.06     | 392.65    
100.0      | 340.93       | 89.40        | 33141      | 61.57      | 140.89     | 393.82    
110.0      | 358.95       | 89.41        | 33225      | 64.52      | 144.87     | 393.28    
120.0      | 377.05       | 89.47        | 33308      | 66.08      | 147.37     | 392.89    
