SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM
Date: 2026-06-12 15:29:44
Marqueur recherché: L-frame
==========================================================================================
CIBLE (°)  | RÉEL_MOT (°) | ERR_MOT (°)  | FRAME_QTM  | X (mm)     | Y (mm)     | Z (mm)    
==========================================================================================
-50.0      | 377487101.16 | 209715106.20 | 4612       | 42.86      | 58.18      | 337.86    
-40.0      | 377487118.12 | 209715105.62 | 4696       | 42.85      | 58.24      | 337.85    
-30.0      | 377487135.97 | 209715105.54 | 4782       | 42.75      | 58.58      | 337.85    
-20.0      | 377487153.98 | 209715105.55 | 4865       | 42.58      | 59.44      | 337.95    
-10.0      | 377487171.74 | 209715105.41 | 4949       | 42.13      | 61.20      | 338.04    
0.0        | -170.42      | 94.68        | 5032       | 44.99      | 61.40      | 338.28    
10.0       | -152.84      | 94.91        | 5115       | 43.12      | 64.43      | 338.40    
20.0       | -134.91      | 94.95        | 5198       | nan        | nan        | nan       
30.0       | -117.33      | 95.19        | 5281       | nan        | nan        | nan       
40.0       | -99.14       | 95.08        | 5364       | nan        | nan        | nan       
50.0       | -81.74       | 95.41        | 5448       | 38.45      | 81.32      | 337.74    
60.0       | -64.69       | 95.94        | 5531       | nan        | nan        | nan       
70.0       | -45.88       | 95.49        | 5614       | nan        | nan        | nan       
80.0       | -28.04       | 95.58        | 5697       | nan        | nan        | nan       
90.0       | -10.28       | 95.71        | 5780       | nan        | nan        | nan       
100.0      | 7.82         | 95.65        | 5864       | nan        | nan        | nan       
90.0       | -8.09        | 94.49        | 5947       | nan        | nan        | nan       
80.0       | -25.75       | 94.31        | 6033       | nan        | nan        | nan       
70.0       | -43.77       | 94.32        | 6116       | nan        | nan        | nan       
60.0       | -61.70       | 94.28        | 6200       | nan        | nan        | nan       
50.0       | -79.72       | 94.29        | 6283       | nan        | nan        | nan       
40.0       | -97.56       | 94.20        | 6366       | 50.54      | 64.97      | 331.95    
30.0       | -115.58      | 94.21        | 6449       | nan        | nan        | nan       
20.0       | -133.42      | 94.12        | 6532       | 39.69      | 69.65      | 338.60    
10.0       | -151.26      | 94.03        | 6616       | nan        | nan        | nan       
0.0        | -169.10      | 93.95        | 6699       | nan        | nan        | nan       
-10.0      | 377487173.06 | 209715106.14 | 6782       | nan        | nan        | nan       
-20.0      | 377487155.39 | 209715106.33 | 6865       | nan        | nan        | nan       
-30.0      | 377487137.11 | 209715106.17 | 6948       | nan        | nan        | nan       
-40.0      | 377487118.65 | 209715105.92 | 7032       | nan        | nan        | nan       
-50.0      | 377487101.07 | 209715106.15 | 7115       | nan        | nan        | nan       
