SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM
Date: 2026-06-25 14:29:26
Marqueur recherché: L-frame
=============================================================================================================================
CIBLE (°)  | RÉEL_MOT   | ERR_MOT    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | Rx (°)     | Ry (°)     | Rz (°)    
=============================================================================================================================
40.0       | 109.07     | 20.60      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
50.0       | 127.18     | 20.65      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
60.0       | 145.02     | 20.57      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
50.0       | 127.35     | 20.75      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
40.0       | 109.34     | 20.74      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
30.0       | 91.41      | 20.78      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
20.0       | 73.30      | 20.72      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
10.0       | 55.28      | 20.71      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
0.0        | 37.35      | 20.75      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
-10.0      | 19.34      | 20.74      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
-20.0      | 1.32       | 20.73      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
-30.0      | -16.70     | 20.72      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
-40.0      | -34.72     | 20.71      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
-50.0      | -52.65     | 20.75      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
-40.0      | -34.89     | 20.62      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
-30.0      | -16.88     | 20.62      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
-20.0      | 1.05       | 20.59      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
-10.0      | 19.16      | 20.64      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
0.0        | 37.18      | 20.65      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
10.0       | 55.02      | 20.57      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
20.0       | 73.12      | 20.62      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
30.0       | 91.14      | 20.63      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
40.0       | 109.16     | 20.64      | 0        | 0.00       | 0.00       | 0.00       | 0.00       | 0.00       | 0.00      
