SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM
Date: 2026-06-25 14:40:23
Marqueur recherché: L-frame
=============================================================================================================================
CIBLE (°)  | RÉEL_MOT   | ERR_MOT    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | Rx (°)     | Ry (°)     | Rz (°)    
=============================================================================================================================
60.0       | 251.28     | 79.60      | 2289     | 144.54     | 127.84     | 252.10     | 11.65      | 42.02      | -157.98   
50.0       | 234.93     | 80.52      | 2372     | 144.49     | 127.83     | 251.93     | 11.67      | 42.25      | -157.92   
40.0       | 217.00     | 80.56      | 2456     | 144.52     | 127.77     | 252.48     | 11.72      | 41.87      | -158.03   
30.0       | 199.07     | 80.60      | 2539     | 144.73     | 127.57     | 254.99     | 11.48      | 39.83      | -158.81   
20.0       | 181.23     | 80.68      | 2622     | 145.36     | 127.46     | 258.65     | 11.24      | 36.38      | -159.90   
10.0       | 163.30     | 80.72      | 2705     | 147.01     | 127.26     | 264.61     | 11.10      | 30.23      | -161.76   
0.0        | 145.55     | 80.86      | 2788     | 149.89     | 127.22     | 271.06     | 10.98      | 23.06      | -163.55   
-10.0      | 127.62     | 80.90      | 2872     | 154.94     | 127.23     | 277.95     | 10.67      | 13.40      | -165.87   
-20.0      | 109.78     | 80.99      | 2955     | 160.10     | 127.38     | 283.56     | 10.81      | 4.82       | -167.73   
-30.0      | 92.11      | 81.17      | 3038     | 165.35     | 127.64     | 288.20     | 11.24      | -2.99      | -169.45   
-40.0      | 74.36      | 81.31      | 3121     | 169.63     | 127.91     | 291.31     | 11.69      | -8.82      | -170.82   
-50.0      | 56.60      | 81.45      | 3204     | 174.79     | 128.30     | 294.41     | 12.50      | -15.43     | -172.48   
-40.0      | 73.21      | 80.67      | 3288     | 174.77     | 128.30     | 294.33     | 12.50      | -15.39     | -172.49   
-30.0      | 91.05      | 80.59      | 3371     | 173.69     | 128.16     | 293.39     | 12.32      | -14.14     | -172.24   
-20.0      | 108.90     | 80.50      | 3454     | 170.30     | 127.89     | 290.74     | 11.71      | -9.96      | -171.20   
-10.0      | 126.83     | 80.46      | 3537     | 163.90     | 127.53     | 285.49     | 10.96      | -1.08      | -169.23   
0.0        | 144.67     | 80.37      | 3620     | 158.50     | 127.44     | 280.54     | 10.88      | 7.35       | -167.42   
10.0       | 162.51     | 80.28      | 3703     | 153.88     | 127.35     | 275.17     | 11.04      | 15.42      | -165.67   
20.0       | 180.26     | 80.15      | 3787     | 151.12     | 127.37     | 270.95     | 11.27      | 21.03      | -164.39   
30.0       | 198.19     | 80.11      | 3870     | 149.01     | 127.47     | 266.88     | 11.51      | 25.75      | -163.15   
40.0       | 216.04     | 80.02      | 3953     | 147.30     | 127.58     | 262.65     | 11.78      | 30.58      | -162.00   
50.0       | 233.88     | 79.93      | 4036     | 145.53     | 127.87     | 256.86     | 12.51      | 37.04      | -159.91   
60.0       | 251.28     | 79.60      | 4120     | 144.28     | 128.11     | 251.19     | 13.28      | 42.98      | -158.09   
