SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM
Date: 2026-06-25 14:44:09
Marqueur recherché: L-frame
=============================================================================================================================
CIBLE (°)  | RÉEL_MOT   | ERR_MOT    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | Rx (°)     | Ry (°)     | Rz (°)    
=============================================================================================================================
60.0       | 249.87     | 78.82      | 24880    | 144.11     | 127.95     | 251.02     | 13.97      | 43.11      | -158.26   
50.0       | 233.44     | 79.69      | 24963    | 144.11     | 128.01     | 250.88     | 13.95      | 43.26      | -158.21   
40.0       | 215.42     | 79.68      | 25047    | 144.10     | 127.87     | 251.52     | 13.91      | 42.80      | -158.42   
30.0       | 197.67     | 79.81      | 25130    | 144.31     | 127.70     | 254.21     | 13.65      | 40.58      | -159.29   
20.0       | 179.65     | 79.80      | 25213    | 144.93     | 127.64     | 257.94     | 13.34      | 37.01      | -160.41   
10.0       | 161.81     | 79.89      | 25296    | 146.87     | 127.73     | 264.37     | 12.87      | 30.53      | -162.28   
0.0        | 144.05     | 80.03      | 25379    | 149.78     | 127.78     | 270.66     | 12.67      | 23.09      | -164.04   
-10.0      | 126.12     | 80.07      | 25462    | 154.88     | 127.84     | 277.59     | 12.23      | 13.19      | -166.38   
-20.0      | 108.37     | 80.21      | 25546    | 160.14     | 128.02     | 283.26     | 12.25      | 4.50       | -168.40   
-30.0      | 90.62      | 80.34      | 25629    | 164.80     | 128.31     | 287.43     | 12.55      | -2.38      | -169.95   
-40.0      | 72.77      | 80.43      | 25712    | 169.14     | 128.64     | 290.65     | 13.01      | -8.39      | -171.35   
-50.0      | 55.20      | 80.66      | 25795    | 174.53     | 129.06     | 293.86     | 13.76      | -15.31     | -173.11   
-40.0      | 71.72      | 79.84      | 25878    | 174.50     | 129.06     | 293.80     | 13.79      | -15.25     | -173.12   
-30.0      | 89.47      | 79.71      | 25962    | 173.45     | 128.87     | 292.88     | 13.64      | -14.03     | -172.89   
-20.0      | 107.40     | 79.67      | 26045    | 170.11     | 128.56     | 290.29     | 12.99      | -9.86      | -171.84   
-10.0      | 125.33     | 79.63      | 26128    | 164.09     | 128.05     | 285.29     | 12.23      | -1.56      | -169.92   
0.0        | 143.17     | 79.54      | 26211    | 158.41     | 127.83     | 280.13     | 12.11      | 7.35       | -167.99   
10.0       | 161.02     | 79.45      | 26294    | 153.81     | 127.68     | 274.87     | 12.25      | 15.38      | -166.17   
20.0       | 178.86     | 79.37      | 26378    | 150.87     | 127.62     | 270.45     | 12.47      | 21.26      | -164.78   
30.0       | 196.79     | 79.33      | 26461    | 148.79     | 127.65     | 266.42     | 12.72      | 26.06      | -163.53   
40.0       | 214.63     | 79.24      | 26544    | 147.16     | 127.74     | 262.19     | 12.83      | 30.98      | -162.41   
50.0       | 232.29     | 79.05      | 26627    | 145.30     | 127.78     | 256.35     | 13.55      | 37.31      | -160.52   
60.0       | 249.96     | 78.87      | 26710    | 144.19     | 127.98     | 250.76     | 14.32      | 43.14      | -158.53   
