SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM
Date: 2026-06-25 14:46:27
Marqueur recherché: L-frame
=============================================================================================================================
CIBLE (°)  | RÉEL_MOT   | ERR_MOT    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | Rx (°)     | Ry (°)     | Rz (°)    
=============================================================================================================================
-50.0      | 377487126.65 | 209715120.36 | 38691    | 159.15     | 117.30     | 279.73     | 9.36       | 11.95      | 176.99    
-40.0      | 377487143.70 | 209715119.83 | 38774    | 159.16     | 117.21     | 279.73     | 9.34       | 11.97      | 176.91    
-30.0      | 377487161.54 | 209715119.75 | 38857    | 159.11     | 117.54     | 279.78     | 9.41       | 11.89      | 177.16    
-20.0      | 377487179.47 | 209715119.71 | 38940    | 158.92     | 118.67     | 279.89     | 9.72       | 11.67      | 178.21    
-10.0      | -162.86    | 80.48      | 39023    | 158.58     | 120.68     | 279.97     | 10.29      | 11.23      | -179.63   
0.0        | -145.28    | 80.71      | 39107    | 158.18     | 123.70     | 279.97     | 11.14      | 10.55      | -176.10   
10.0       | -127.35    | 80.75      | 39190    | 157.62     | 128.48     | 280.02     | 12.74      | 8.81       | -168.69   
20.0       | -109.69    | 80.94      | 39273    | 157.65     | 132.56     | 279.89     | 13.69      | 7.68       | -162.88   
30.0       | -91.85     | 81.03      | 39356    | 158.04     | 137.19     | 279.67     | 14.73      | 6.55       | -156.61   
40.0       | -74.27     | 81.26      | 39439    | 158.84     | 142.63     | 279.09     | 15.67      | 5.41       | -148.45   
50.0       | -56.43     | 81.35      | 39522    | 160.16     | 147.77     | 278.61     | 16.41      | 3.96       | -141.18   
60.0       | -38.41     | 81.34      | 39606    | 160.80     | 149.95     | 278.36     | 16.73      | 3.50       | -138.16   
70.0       | -21.18     | 81.77      | 39689    | 162.81     | 154.83     | 277.85     | 17.12      | 1.99       | -130.77   
80.0       | -2.90      | 81.61      | 39772    | 164.07     | 157.22     | 277.66     | 17.27      | 1.20       | -126.93   
90.0       | 14.68      | 81.85      | 39855    | 167.19     | 161.90     | 277.22     | 17.24      | -0.58      | -118.70   
100.0      | 32.96      | 81.69      | 39939    | 171.34     | 166.55     | 276.49     | 17.48      | -2.35      | -108.19   
110.0      | 50.27      | 82.07      | 40022    | 175.13     | 170.02     | 276.03     | 17.38      | -3.77      | -100.56   
120.0      | 68.91      | 81.72      | 40105    | 178.05     | 172.34     | 275.64     | 17.30      | -4.69      | -94.99    
110.0      | 53.44      | 80.31      | 40188    | 177.95     | 172.22     | 275.68     | 17.35      | -4.72      | -95.18    
100.0      | 35.42      | 80.32      | 40271    | 177.40     | 171.54     | 275.86     | 17.38      | -4.65      | -96.09    
90.0       | 17.75      | 80.14      | 40355    | 174.84     | 169.02     | 276.50     | 17.48      | -4.19      | -100.30   
80.0       | -0.09      | 80.05      | 40438    | 171.67     | 165.37     | 277.52     | 17.32      | -3.66      | -106.66   
70.0       | -18.28     | 80.16      | 40521    | 167.99     | 161.08     | 278.21     | 16.94      | -2.10      | -114.89   
60.0       | -36.39     | 80.21      | 40604    | 164.81     | 156.21     | 278.70     | 16.66      | -0.57      | -123.16   
50.0       | -54.23     | 80.13      | 40687    | 161.87     | 150.23     | 279.22     | 16.43      | 1.42       | -132.62   
40.0       | -72.07     | 80.04      | 40771    | 159.95     | 144.32     | 279.65     | 15.83      | 3.18       | -141.65   
30.0       | -90.09     | 80.05      | 40854    | 158.75     | 139.03     | 279.94     | 15.14      | 4.85       | -149.70   
20.0       | -108.11    | 80.06      | 40937    | 158.10     | 133.89     | 280.18     | 14.20      | 6.25       | -158.20   
10.0       | -126.04    | 80.02      | 41020    | 157.88     | 129.42     | 280.23     | 13.21      | 7.66       | -165.17   
0.0        | -143.88    | 79.93      | 41103    | 158.11     | 125.28     | 280.32     | 12.08      | 8.96       | -172.10   
-10.0      | -161.72    | 79.84      | 41187    | 158.42     | 123.19     | 280.26     | 11.36      | 9.74       | -175.49   
-20.0      | -179.47    | 79.71      | 41270    | 158.86     | 120.77     | 280.09     | 10.47      | 10.64      | -179.17   
-30.0      | 377487162.60 | 209715120.33 | 41353    | 159.44     | 117.41     | 279.80     | 9.35       | 11.65      | 176.10    
-40.0      | 377487144.76 | 209715120.42 | 41436    | 160.10     | 114.00     | 279.53     | 7.64       | 12.36      | 170.03    
-50.0      | 377487126.74 | 209715120.41 | 41519    | 160.49     | 112.70     | 279.38     | 7.12       | 12.81      | 168.05    
