SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM
Date: 2026-06-25 14:51:54
Marqueur recherché: L-frame
=============================================================================================================================
CIBLE (°)  | RÉEL_MOT   | ERR_MOT    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | Rx (°)     | Ry (°)     | Rz (°)    
=============================================================================================================================
-50.0      | 377487138.08 | 209715126.71 | 71311    | 159.73     | 114.79     | 279.33     | 8.03       | 12.34      | 171.39    
-40.0      | 377487155.04 | 209715126.13 | 71394    | 159.77     | 114.82     | 279.37     | 7.92       | 12.33      | 171.32    
-30.0      | 377487172.97 | 209715126.09 | 71477    | 159.67     | 115.17     | 279.46     | 7.91       | 12.20      | 171.53    
-20.0      | -169.19    | 73.99      | 71560    | 159.71     | 115.94     | 279.53     | 8.55       | 12.37      | 173.01    
-10.0      | -151.35    | 74.08      | 71643    | 159.36     | 117.61     | 279.63     | 9.07       | 11.97      | 174.93    
0.0        | -133.51    | 74.17      | 71727    | 158.74     | 120.61     | 279.65     | 9.99       | 11.43      | 178.83    
10.0       | -115.84    | 74.36      | 71810    | 158.28     | 123.12     | 279.55     | 10.80      | 10.87      | -177.28   
20.0       | -98.00     | 74.44      | 71893    | 157.66     | 127.63     | 279.47     | 12.39      | 9.18       | -169.48   
30.0       | -80.07     | 74.48      | 71976    | 157.61     | 132.53     | 279.27     | 13.58      | 7.94       | -162.27   
40.0       | -62.67     | 74.81      | 72059    | 158.18     | 137.65     | 279.11     | 14.58      | 6.69       | -155.12   
50.0       | -44.56     | 74.76      | 72143    | 159.15     | 143.40     | 278.63     | 15.56      | 5.10       | -146.63   
60.0       | -27.16     | 75.09      | 72224    | 160.51     | 148.63     | 277.99     | 16.28      | 3.85       | -139.02   
70.0       | -8.96      | 74.98      | 72309    | 161.57     | 151.97     | 277.53     | 16.71      | 3.13       | -134.20   
80.0       | 8.61       | 75.21      | 72392    | 163.58     | 156.20     | 277.14     | 17.05      | 1.79       | -127.51   
90.0       | 26.02      | 75.55      | 72475    | 166.75     | 161.18     | 276.67     | 17.14      | -0.06      | -118.85   
100.0      | 44.47      | 75.29      | 72559    | 170.90     | 166.02     | 275.91     | 17.47      | -1.82      | -108.26   
110.0      | 61.70      | 75.72      | 72641    | 174.35     | 169.24     | 275.56     | 17.38      | -3.17      | -101.50   
120.0      | 79.98      | 75.57      | 72725    | 176.33     | 170.87     | 275.26     | 17.38      | -3.78      | -97.42    
110.0      | 64.78      | 74.01      | 72808    | 176.32     | 170.84     | 275.32     | 17.39      | -3.86      | -97.51    
100.0      | 46.85      | 73.97      | 72891    | 175.97     | 170.27     | 275.52     | 17.47      | -3.89      | -98.17    
90.0       | 29.09      | 73.84      | 72975    | 173.82     | 167.96     | 276.13     | 17.49      | -3.57      | -101.85   
80.0       | 10.99      | 73.90      | 73058    | 170.52     | 164.03     | 277.25     | 17.44      | -3.08      | -108.52   
70.0       | -6.94      | 73.86      | 73141    | 167.43     | 160.23     | 277.79     | 16.93      | -1.63      | -115.81   
60.0       | -24.87     | 73.82      | 73224    | 164.46     | 155.49     | 278.31     | 16.75      | -0.16      | -124.01   
50.0       | -42.80     | 73.78      | 73307    | 161.64     | 149.64     | 278.85     | 16.42      | 1.73       | -133.37   
40.0       | -60.73     | 73.74      | 73391    | 159.76     | 143.70     | 279.28     | 15.82      | 3.52       | -142.66   
30.0       | -78.75     | 73.75      | 73474    | 158.71     | 138.72     | 279.57     | 15.10      | 5.11       | -150.40   
20.0       | -96.68     | 73.71      | 73557    | 158.10     | 133.56     | 279.82     | 14.21      | 6.49       | -158.77   
10.0       | -114.70    | 73.72      | 73640    | 157.92     | 129.22     | 279.93     | 13.22      | 7.85       | -165.75   
0.0        | -132.45    | 73.58      | 73723    | 158.22     | 125.12     | 280.07     | 12.08      | 9.06       | -172.63   
-10.0      | -150.38    | 73.54      | 73807    | 158.56     | 123.29     | 279.97     | 11.38      | 9.84       | -175.64   
-20.0      | -168.22    | 73.46      | 73890    | 158.93     | 120.90     | 279.94     | 10.63      | 10.49      | -179.13   
-30.0      | 377487174.02 | 209715126.68 | 73973    | 159.53     | 117.57     | 279.73     | 9.55       | 11.45      | 176.07    
-40.0      | 377487156.09 | 209715126.72 | 74056    | 160.27     | 114.12     | 279.54     | 7.83       | 12.17      | 169.88    
-50.0      | 377487138.16 | 209715126.76 | 74139    | 160.67     | 112.77     | 279.42     | 7.31       | 12.58      | 167.64    
