SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM
Date: 2026-06-25 14:58:40
Marqueur recherché: L-frame
=============================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | Rx (°)     | Ry (°)     | Rz (°)    
=============================================================================================================================
-50.0      | -49.41     | 0.59       | 111930   | 160.79     | 111.92     | 279.12     | 6.95       | 12.92      | 166.86    
-40.0      | -40.04     | 0.04       | 112013   | 160.82     | 111.88     | 279.13     | 6.95       | 12.94      | 166.78    
-30.0      | -29.98     | 0.02       | 112096   | 160.70     | 112.28     | 279.21     | 7.02       | 12.85      | 167.12    
-20.0      | -20.07     | 0.07       | 112179   | 160.43     | 113.32     | 279.35     | 7.35       | 12.63      | 168.08    
-10.0      | -10.11     | 0.11       | 112263   | 160.01     | 114.91     | 279.49     | 7.84       | 12.25      | 169.88    
0.0        | -0.20      | 0.20       | 112346   | 159.66     | 116.89     | 279.55     | 8.82       | 12.07      | 173.14    
10.0       | 9.67       | 0.33       | 112429   | 159.16     | 118.88     | 279.48     | 9.46       | 11.74      | 175.98    
20.0       | 19.58      | 0.42       | 112512   | 158.37     | 122.90     | 279.38     | 10.82      | 10.78      | -177.55   
30.0       | 29.44      | 0.56       | 112595   | 157.71     | 127.94     | 279.26     | 12.60      | 9.06       | -168.81   
40.0       | 39.16      | 0.84       | 112678   | 157.71     | 132.75     | 279.07     | 13.73      | 7.79       | -161.85   
50.0       | 49.07      | 0.93       | 112762   | 158.31     | 138.04     | 278.85     | 14.75      | 6.53       | -154.25   
60.0       | 58.69      | 1.31       | 112845   | 159.14     | 143.38     | 278.27     | 15.64      | 5.21       | -146.33   
70.0       | 69.04      | 0.96       | 112927   | 159.85     | 146.26     | 277.99     | 16.03      | 4.43       | -142.13   
80.0       | 78.52      | 1.48       | 113011   | 161.19     | 150.93     | 277.29     | 16.62      | 3.49       | -135.38   
90.0       | 88.92      | 1.08       | 113093   | 163.01     | 155.06     | 276.87     | 17.00      | 2.23       | -128.90   
100.0      | 98.49      | 1.51       | 113178   | 164.98     | 158.62     | 276.47     | 17.19      | 1.10       | -123.04   
110.0      | 108.30     | 1.70       | 113260   | 168.54     | 163.51     | 275.92     | 17.39      | -0.62      | -113.88   
120.0      | 118.41     | 1.59       | 113344   | 172.61     | 167.64     | 275.28     | 17.56      | -2.30      | -104.38   
110.0      | 109.86     | 0.14       | 113427   | 172.62     | 167.56     | 275.38     | 17.58      | -2.38      | -104.52   
100.0      | 100.05     | 0.05       | 113510   | 172.22     | 166.88     | 275.64     | 17.58      | -2.43      | -105.27   
90.0       | 89.99      | 0.01       | 113594   | 170.04     | 164.05     | 276.45     | 17.66      | -2.15      | -109.50   
80.0       | 80.08      | 0.08       | 113677   | 167.28     | 160.62     | 276.94     | 17.18      | -0.99      | -115.61   
70.0       | 70.02      | 0.02       | 113760   | 164.07     | 155.49     | 277.51     | 16.89      | 0.61       | -123.74   
60.0       | 60.06      | 0.06       | 113843   | 161.51     | 150.19     | 278.04     | 16.61      | 2.27       | -132.27   
50.0       | 50.05      | 0.05       | 113927   | 159.45     | 144.05     | 278.53     | 16.03      | 4.11       | -141.70   
40.0       | 40.14      | 0.14       | 114010   | 158.45     | 139.61     | 278.83     | 15.40      | 5.49       | -148.51   
30.0       | 30.13      | 0.13       | 114093   | 157.68     | 133.95     | 279.10     | 14.43      | 7.06       | -157.84   
20.0       | 20.17      | 0.17       | 114176   | 157.59     | 129.68     | 279.32     | 13.45      | 8.26       | -164.65   
10.0       | 10.21      | 0.21       | 114259   | 157.87     | 125.06     | 279.47     | 12.12      | 9.64       | -172.35   
0.0        | 0.34       | 0.34       | 114342   | 158.11     | 123.31     | 279.46     | 11.54      | 10.19      | -175.08   
-10.0      | -9.57      | 0.43       | 114426   | 158.54     | 121.05     | 279.43     | 10.77      | 10.95      | -178.57   
-20.0      | -19.53     | 0.47       | 114509   | 159.15     | 117.90     | 279.27     | 9.70       | 11.80      | 176.80    
-30.0      | -29.44     | 0.56       | 114592   | 159.92     | 114.31     | 279.15     | 8.01       | 12.54      | 170.36    
-40.0      | -39.50     | 0.50       | 114675   | 160.60     | 112.12     | 278.96     | 7.15       | 13.13      | 167.12    
-50.0      | -49.41     | 0.59       | 114758   | 160.69     | 111.84     | 278.93     | 7.00       | 13.23      | 166.74    
