SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM
Date: 2026-06-30 15:49:24
Marqueur recherché: L-frame
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
================================================================================================================================================================
60.0       | 58.89      | 1.11       | 5069     | 210.33     | 146.10     | 292.06     | -0.6816  | 0.0501   | -0.7300  | -0.3669  | -0.8866  | 0.2818   | -0.6331  | 0.4599   | 0.6227  
50.0       | 49.80      | 0.20       | 5152     | 210.32     | 146.17     | 291.97     | -0.6805  | 0.0499   | -0.7311  | -0.3677  | -0.8862  | 0.2817   | -0.6338  | 0.4605   | 0.6214  
40.0       | 39.90      | 0.10       | 5236     | 210.24     | 146.21     | 292.60     | -0.6859  | 0.0512   | -0.7259  | -0.3660  | -0.8865  | 0.2833   | -0.6290  | 0.4600   | 0.6267  
30.0       | 30.06      | 0.06       | 5319     | 210.10     | 146.35     | 293.78     | -0.6975  | 0.0550   | -0.7145  | -0.3635  | -0.8864  | 0.2866   | -0.6175  | 0.4596   | 0.6383  
20.0       | 20.10      | 0.10       | 5402     | 210.06     | 146.88     | 297.06     | -0.7322  | 0.0671   | -0.6778  | -0.3566  | -0.8856  | 0.2975   | -0.5803  | 0.4595   | 0.6724  
10.0       | 10.20      | 0.20       | 5485     | 210.31     | 147.53     | 301.07     | -0.7737  | 0.0833   | -0.6280  | -0.3480  | -0.8843  | 0.3115   | -0.5294  | 0.4595   | 0.7132  
0.0        | 0.29       | 0.29       | 5568     | 211.37     | 148.24     | 306.49     | -0.8282  | 0.1044   | -0.5507  | -0.3311  | -0.8839  | 0.3303   | -0.4522  | 0.4559   | 0.7666  
-10.0      | -9.67      | 0.33       | 5652     | 213.29     | 148.86     | 312.03     | -0.8809  | 0.1289   | -0.4554  | -0.3099  | -0.8842  | 0.3494   | -0.3577  | 0.4489   | 0.8189  
-20.0      | -19.57     | 0.43       | 5735     | 215.37     | 149.21     | 316.63     | -0.9177  | 0.1463   | -0.3693  | -0.2876  | -0.8859  | 0.3639   | -0.2740  | 0.4401   | 0.8551  
-30.0      | -29.36     | 0.64       | 5818     | 217.48     | 149.56     | 320.49     | -0.9424  | 0.1633   | -0.2918  | -0.2696  | -0.8873  | 0.3741   | -0.1979  | 0.4312   | 0.8803  
-40.0      | -39.32     | 0.68       | 5901     | 220.02     | 149.90     | 324.60     | -0.9618  | 0.1814   | -0.2049  | -0.2495  | -0.8890  | 0.3840   | -0.1125  | 0.4205   | 0.9003  
-50.0      | -49.16     | 0.84       | 5984     | 222.89     | 150.20     | 328.50     | -0.9732  | 0.1987   | -0.1158  | -0.2285  | -0.8910  | 0.3922   | -0.0252  | 0.4082   | 0.9125  
-40.0      | -39.90     | 0.10       | 6068     | 222.88     | 150.19     | 328.46     | -0.9731  | 0.1987   | -0.1163  | -0.2288  | -0.8907  | 0.3927   | -0.0256  | 0.4088   | 0.9123  
-30.0      | -30.06     | 0.06       | 6151     | 222.61     | 150.09     | 327.94     | -0.9727  | 0.1960   | -0.1244  | -0.2296  | -0.8905  | 0.3928   | -0.0338  | 0.4107   | 0.9112  
-20.0      | -20.10     | 0.10       | 6234     | 221.95     | 150.00     | 326.77     | -0.9705  | 0.1923   | -0.1453  | -0.2349  | -0.8899  | 0.3910   | -0.0542  | 0.4136   | 0.9088  
-10.0      | -10.20     | 0.20       | 6317     | 219.35     | 149.78     | 322.12     | -0.9557  | 0.1767   | -0.2354  | -0.2581  | -0.8874  | 0.3820   | -0.1414  | 0.4259   | 0.8937  
0.0        | -0.18      | 0.18       | 6400     | 216.89     | 149.53     | 317.39     | -0.9312  | 0.1591   | -0.3279  | -0.2817  | -0.8851  | 0.3705   | -0.2313  | 0.4374   | 0.8690  
10.0       | 9.67       | 0.33       | 6484     | 214.56     | 149.27     | 312.54     | -0.8955  | 0.1398   | -0.4226  | -0.3062  | -0.8825  | 0.3569   | -0.3231  | 0.4490   | 0.8331  
20.0       | 19.57      | 0.43       | 6567     | 213.19     | 149.05     | 308.87     | -0.8638  | 0.1264   | -0.4877  | -0.3239  | -0.8809  | 0.3453   | -0.3859  | 0.4562   | 0.8018  
30.0       | 29.47      | 0.53       | 6650     | 212.06     | 148.77     | 304.87     | -0.8258  | 0.1114   | -0.5529  | -0.3406  | -0.8799  | 0.3314   | -0.4496  | 0.4620   | 0.7645  
40.0       | 39.32      | 0.68       | 6733     | 211.16     | 148.38     | 300.41     | -0.7794  | 0.0947   | -0.6194  | -0.3576  | -0.8790  | 0.3155   | -0.5145  | 0.4674   | 0.7189  
50.0       | 49.22      | 0.78       | 6816     | 210.66     | 147.85     | 295.41     | -0.7235  | 0.0757   | -0.6861  | -0.3731  | -0.8792  | 0.2964   | -0.5808  | 0.4704   | 0.6644  
60.0       | 59.12      | 0.88       | 6900     | 210.39     | 147.48     | 289.73     | -0.6498  | 0.0567   | -0.7580  | -0.3938  | -0.8781  | 0.2719   | -0.6502  | 0.4751   | 0.5929  
