SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM (BOUCLES MULTIPLES)
Date: 2026-06-30 15:51:02
Marqueur recherché: L-frame
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
================================================================================================================================================================
60.0       | 59.12      | 0.88       | 14838    | 210.41     | 148.15     | 291.11     | -0.6676  | 0.0668   | -0.7415  | -0.3968  | -0.8747  | 0.2784   | -0.6299  | 0.4801   | 0.6105  
50.0       | 49.86      | 0.14       | 14921    | 210.42     | 148.16     | 291.09     | -0.6667  | 0.0663   | -0.7423  | -0.3968  | -0.8747  | 0.2783   | -0.6309  | 0.4801   | 0.6095  
40.0       | 39.96      | 0.04       | 15004    | 210.29     | 148.14     | 291.78     | -0.6733  | 0.0667   | -0.7364  | -0.3941  | -0.8751  | 0.2810   | -0.6256  | 0.4794   | 0.6154  
30.0       | 30.00      | 0.00       | 15087    | 210.12     | 148.36     | 293.75     | -0.6939  | 0.0727   | -0.7164  | -0.3893  | -0.8748  | 0.2883   | -0.6058  | 0.4790   | 0.6353  
20.0       | 20.10      | 0.10       | 15171    | 210.21     | 148.94     | 298.22     | -0.7424  | 0.0886   | -0.6641  | -0.3773  | -0.8744  | 0.3052   | -0.5536  | 0.4771   | 0.6825  
10.0       | 10.14      | 0.14       | 15254    | 210.80     | 149.55     | 303.14     | -0.7927  | 0.1068   | -0.6001  | -0.3630  | -0.8736  | 0.3241   | -0.4897  | 0.4748   | 0.7313  
0.0        | 0.23       | 0.23       | 15337    | 212.38     | 150.09     | 308.89     | -0.8514  | 0.1302   | -0.5081  | -0.3404  | -0.8741  | 0.3464   | -0.3990  | 0.4679   | 0.7886  
-10.0      | -9.67      | 0.33       | 15420    | 214.77     | 150.50     | 314.75     | -0.9024  | 0.1528   | -0.4030  | -0.3121  | -0.8765  | 0.3665   | -0.2972  | 0.4565   | 0.8386  
0.0        | -0.06      | 0.06       | 15503    | 214.77     | 150.50     | 314.68     | -0.9022  | 0.1528   | -0.4035  | -0.3124  | -0.8763  | 0.3667   | -0.2975  | 0.4568   | 0.8383  
10.0       | 9.79       | 0.21       | 15587    | 214.21     | 150.32     | 312.83     | -0.8900  | 0.1465   | -0.4318  | -0.3195  | -0.8760  | 0.3614   | -0.3253  | 0.4596   | 0.8264  
