SYNCHRO DYNAMIXEL + QTM (Vitesse limitée)
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
================================================================================================================================================================
0.0        | 0.00       | 0.00       | 147834   | 214.32     | 152.92     | 311.82     | -0.8807  | 0.1758   | -0.4397  | -0.3553  | -0.8593  | 0.3680   | -0.3132  | 0.4803   | 0.8193  
10.0       | 9.81       | 0.19       | 147987   | 214.35     | 153.10     | 311.82     | -0.8801  | 0.1773   | -0.4404  | -0.3570  | -0.8586  | 0.3679   | -0.3129  | 0.4810   | 0.8190  
20.0       | 19.63      | 0.37       | 148141   | 214.46     | 153.86     | 311.72     | -0.8770  | 0.1900   | -0.4413  | -0.3683  | -0.8557  | 0.3636   | -0.3085  | 0.4814   | 0.8204  
30.0       | 29.59      | 0.41       | 148295   | 214.86     | 156.99     | 311.04     | -0.8568  | 0.2524   | -0.4496  | -0.4258  | -0.8380  | 0.3411   | -0.2906  | 0.4837   | 0.8256  
40.0       | 39.26      | 0.74       | 148448   | 216.11     | 162.00     | 310.32     | -0.8093  | 0.3712   | -0.4552  | -0.5293  | -0.7968  | 0.2913   | -0.2546  | 0.4767   | 0.8414  
50.0       | 49.32      | 0.68       | 148602   | 217.74     | 167.21     | 309.80     | -0.7514  | 0.4758   | -0.4572  | -0.6220  | -0.7420  | 0.2501   | -0.2202  | 0.4723   | 0.8535  
60.0       | 59.38      | 0.62       | 148755   | 219.13     | 170.72     | 309.39     | -0.7024  | 0.5449   | -0.4579  | -0.6834  | -0.6961  | 0.2201   | -0.1988  | 0.4675   | 0.8613  
70.0       | 68.80      | 1.20       | 148909   | 220.92     | 174.63     | 309.00     | -0.6323  | 0.6267   | -0.4555  | -0.7550  | -0.6303  | 0.1808   | -0.1738  | 0.4582   | 0.8717  
80.0       | 78.86      | 1.14       | 149063   | 222.39     | 177.22     | 308.66     | -0.5891  | 0.6688   | -0.4535  | -0.7927  | -0.5873  | 0.1637   | -0.1569  | 0.4559   | 0.8761  
90.0       | 88.72      | 1.28       | 149216   | 223.52     | 178.99     | 308.59     | -0.5536  | 0.6998   | -0.4515  | -0.8197  | -0.5537  | 0.1467   | -0.1473  | 0.4513   | 0.8801  
100.0      | 98.93      | 1.07       | 149370   | 224.91     | 181.09     | 308.47     | -0.5054  | 0.7368   | -0.4492  | -0.8520  | -0.5085  | 0.1244   | -0.1368  | 0.4456   | 0.8847  
