SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM (BOUCLES MULTIPLES)
Date: 2026-06-30 16:15:05
Marqueur recherché: L-frame
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
================================================================================================================================================================
0.0        | 0.00       | 0.00       | 159211   | 214.53     | 154.23     | 311.74     | -0.8774  | 0.1909   | -0.4402  | -0.3693  | -0.8545  | 0.3654   | -0.3064  | 0.4831   | 0.8202  
10.0       | 9.42       | 0.58       | 159294   | 215.22     | 158.95     | 310.91     | -0.8406  | 0.2981   | -0.4524  | -0.4669  | -0.8221  | 0.3258   | -0.2748  | 0.4851   | 0.8302  
20.0       | 19.34      | 0.66       | 159377   | 216.57     | 163.62     | 310.26     | -0.7923  | 0.4060   | -0.4555  | -0.5601  | -0.7801  | 0.2789   | -0.2421  | 0.4760   | 0.8454  
30.0       | 29.30      | 0.70       | 159460   | 217.33     | 165.96     | 309.99     | -0.7675  | 0.4504   | -0.4561  | -0.5995  | -0.7564  | 0.2617   | -0.2271  | 0.4743   | 0.8506  
20.0       | 20.07      | 0.07       | 159544   | 217.31     | 165.94     | 310.04     | -0.7675  | 0.4501   | -0.4565  | -0.5993  | -0.7565  | 0.2617   | -0.2275  | 0.4745   | 0.8504  
10.0       | 10.16      | 0.16       | 159627   | 216.92     | 164.82     | 310.19     | -0.7776  | 0.4339   | -0.4550  | -0.5843  | -0.7659  | 0.2682   | -0.2322  | 0.4744   | 0.8491  
0.0        | 0.34       | 0.34       | 159710   | 215.97     | 161.51     | 310.67     | -0.8087  | 0.3776   | -0.4510  | -0.5330  | -0.7948  | 0.2903   | -0.2489  | 0.4752   | 0.8440  
-10.0      | -9.67      | 0.33       | 159793   | 214.85     | 157.32     | 311.23     | -0.8477  | 0.2822   | -0.4491  | -0.4513  | -0.8287  | 0.3311   | -0.2788  | 0.4834   | 0.8299  
-20.0      | -19.68     | 0.32       | 159876   | 214.76     | 156.68     | 311.31     | -0.8531  | 0.2677   | -0.4477  | -0.4382  | -0.8335  | 0.3365   | -0.2831  | 0.4832   | 0.8284  
-10.0      | -10.21     | 0.21       | 159959   | 214.78     | 156.82     | 311.29     | -0.8526  | 0.2685   | -0.4483  | -0.4393  | -0.8330  | 0.3364   | -0.2831  | 0.4838   | 0.8281  
0.0        | -0.29      | 0.29       | 160043   | 214.80     | 157.09     | 311.26     | -0.8504  | 0.2733   | -0.4496  | -0.4439  | -0.8315  | 0.3340   | -0.2826  | 0.4836   | 0.8284  
10.0       | 9.42       | 0.58       | 160126   | 215.47     | 159.34     | 310.81     | -0.8351  | 0.3168   | -0.4497  | -0.4801  | -0.8188  | 0.3148   | -0.2685  | 0.4788   | 0.8359  
20.0       | 19.29      | 0.71       | 160209   | 216.58     | 163.67     | 310.25     | -0.7928  | 0.4042   | -0.4561  | -0.5588  | -0.7808  | 0.2794   | -0.2432  | 0.4764   | 0.8449  
30.0       | 29.35      | 0.65       | 160292   | 217.30     | 165.97     | 309.96     | -0.7683  | 0.4478   | -0.4573  | -0.5976  | -0.7577  | 0.2621   | -0.2292  | 0.4747   | 0.8498  
40.0       | 38.87      | 1.13       | 160375   | 219.25     | 171.07     | 309.33     | -0.6988  | 0.5480   | -0.4597  | -0.6872  | -0.6927  | 0.2189   | -0.1985  | 0.4689   | 0.8607  
50.0       | 49.12      | 0.88       | 160459   | 220.28     | 173.47     | 308.99     | -0.6567  | 0.5980   | -0.4596  | -0.7313  | -0.6539  | 0.1942   | -0.1844  | 0.4636   | 0.8667  
60.0       | 58.50      | 1.50       | 160542   | 223.23     | 178.74     | 308.33     | -0.5609  | 0.6904   | -0.4569  | -0.8134  | -0.5622  | 0.1490   | -0.1540  | 0.4552   | 0.8770  
70.0       | 69.43      | 0.57       | 160625   | 223.99     | 179.86     | 308.34     | -0.5340  | 0.7129   | -0.4546  | -0.8326  | -0.5369  | 0.1360   | -0.1472  | 0.4511   | 0.8802  
60.0       | 60.06      | 0.06       | 160708   | 223.67     | 179.37     | 308.38     | -0.5406  | 0.7082   | -0.4540  | -0.8281  | -0.5431  | 0.1389   | -0.1482  | 0.4510   | 0.8801  
50.0       | 50.10      | 0.10       | 160791   | 221.84     | 176.31     | 308.75     | -0.5894  | 0.6683   | -0.4540  | -0.7920  | -0.5887  | 0.1616   | -0.1593  | 0.4548   | 0.8762  
40.0       | 40.19      | 0.19       | 160875   | 219.57     | 172.06     | 309.29     | -0.6538  | 0.6032   | -0.4568  | -0.7342  | -0.6517  | 0.1903   | -0.1829  | 0.4598   | 0.8690  
30.0       | 30.13      | 0.13       | 160958   | 217.72     | 167.50     | 309.88     | -0.7218  | 0.5211   | -0.4554  | -0.6609  | -0.7144  | 0.2300   | -0.2055  | 0.4670   | 0.8600  
20.0       | 20.21      | 0.21       | 161041   | 216.36     | 163.35     | 310.53     | -0.7787  | 0.4349   | -0.4522  | -0.5838  | -0.7663  | 0.2684   | -0.2298  | 0.4730   | 0.8506  
10.0       | 10.25      | 0.25       | 161124   | 215.32     | 158.62     | 311.25     | -0.8374  | 0.3175   | -0.4449  | -0.4787  | -0.8189  | 0.3167   | -0.2637  | 0.4782   | 0.8377  
0.0        | 0.39       | 0.39       | 161207   | 214.70     | 156.10     | 311.64     | -0.8595  | 0.2535   | -0.4439  | -0.4246  | -0.8375  | 0.3439   | -0.2846  | 0.4841   | 0.8275  
-10.0      | -9.91      | 0.09       | 161291   | 214.67     | 155.74     | 311.49     | -0.8616  | 0.2469   | -0.4436  | -0.4207  | -0.8363  | 0.3516   | -0.2842  | 0.4896   | 0.8244  
-20.0      | -19.43     | 0.57       | 161374   | 214.50     | 154.51     | 311.86     | -0.8712  | 0.2171   | -0.4403  | -0.3915  | -0.8484  | 0.3563   | -0.2962  | 0.4828   | 0.8241  
-30.0      | -29.64     | 0.36       | 161457   | 214.39     | 153.49     | 311.92     | -0.8776  | 0.1947   | -0.4380  | -0.3711  | -0.8544  | 0.3638   | -0.3034  | 0.4818   | 0.8221  
-20.0      | -20.07     | 0.07       | 161540   | 214.41     | 153.60     | 311.90     | -0.8770  | 0.1953   | -0.4390  | -0.3721  | -0.8541  | 0.3634   | -0.3040  | 0.4820   | 0.8218  
