SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM (BOUCLES MULTIPLES)
Date: 2026-06-30 16:17:35
Marqueur recherché: L-frame
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
================================================================================================================================================================
-40.0      | -39.65     | 0.35       | 174219   | 214.55     | 155.04     | 311.61     | -0.8686  | 0.2238   | -0.4420  | -0.3981  | -0.8464  | 0.3538   | -0.2949  | 0.4833   | 0.8243  
-30.0      | -30.27     | 0.27       | 174373   | 214.55     | 155.07     | 311.62     | -0.8682  | 0.2247   | -0.4424  | -0.3990  | -0.8462  | 0.3532   | -0.2950  | 0.4832   | 0.8243  
-20.0      | -20.36     | 0.36       | 174527   | 214.71     | 155.42     | 311.29     | -0.8648  | 0.2325   | -0.4449  | -0.4101  | -0.8385  | 0.3589   | -0.2896  | 0.4929   | 0.8205  
-10.0      | -10.64     | 0.64       | 174680   | 215.21     | 158.84     | 310.98     | -0.8413  | 0.2971   | -0.4517  | -0.4656  | -0.8227  | 0.3261   | -0.2747  | 0.4847   | 0.8304  
0.0        | -0.49      | 0.49       | 174834   | 215.83     | 160.72     | 310.63     | -0.8246  | 0.3417   | -0.4509  | -0.5023  | -0.8089  | 0.3056   | -0.2603  | 0.4785   | 0.8386  
10.0       | 9.28       | 0.72       | 174987   | 217.17     | 165.51     | 309.98     | -0.7738  | 0.4395   | -0.4562  | -0.5898  | -0.7626  | 0.2657   | -0.2311  | 0.4747   | 0.8493  
20.0       | 18.95      | 1.05       | 175141   | 217.77     | 167.25     | 309.82     | -0.7530  | 0.4728   | -0.4576  | -0.6200  | -0.7427  | 0.2528   | -0.2204  | 0.4741   | 0.8525  
30.0       | 29.15      | 0.85       | 175294   | 218.70     | 169.74     | 309.53     | -0.7188  | 0.5226   | -0.4586  | -0.6644  | -0.7106  | 0.2315   | -0.2049  | 0.4710   | 0.8580  
20.0       | 20.12      | 0.12       | 175448   | 218.73     | 169.77     | 309.50     | -0.7190  | 0.5223   | -0.4586  | -0.6642  | -0.7107  | 0.2318   | -0.2049  | 0.4713   | 0.8579  
10.0       | 10.11      | 0.11       | 175602   | 218.05     | 168.14     | 309.73     | -0.7344  | 0.5006   | -0.4583  | -0.6447  | -0.7256  | 0.2405   | -0.2122  | 0.4721   | 0.8556  
0.0        | 0.20       | 0.20       | 175755   | 217.00     | 165.17     | 310.09     | -0.7659  | 0.4523   | -0.4569  | -0.6012  | -0.7558  | 0.2596   | -0.2279  | 0.4735   | 0.8508  
-10.0      | -9.77      | 0.23       | 175909   | 215.70     | 160.73     | 310.70     | -0.8139  | 0.3642   | -0.4527  | -0.5224  | -0.7998  | 0.2956   | -0.2544  | 0.4771   | 0.8412  
-20.0      | -19.63     | 0.37       | 176062   | 214.82     | 156.77     | 311.13     | -0.8507  | 0.2694   | -0.4513  | -0.4430  | -0.8297  | 0.3397   | -0.2829  | 0.4889   | 0.8252  
-10.0      | -10.11     | 0.11       | 176216   | 214.80     | 156.84     | 311.14     | -0.8509  | 0.2698   | -0.4508  | -0.4432  | -0.8293  | 0.3402   | -0.2821  | 0.4893   | 0.8253  
0.0        | -0.34      | 0.34       | 176370   | 214.84     | 157.41     | 311.07     | -0.8483  | 0.2772   | -0.4512  | -0.4482  | -0.8297  | 0.3329   | -0.2821  | 0.4846   | 0.8280  
10.0       | 9.52       | 0.48       | 176523   | 215.59     | 160.01     | 310.66     | -0.8286  | 0.3303   | -0.4520  | -0.4931  | -0.8129  | 0.3099   | -0.2650  | 0.4796   | 0.8365  
20.0       | 18.85      | 1.15       | 176677   | 216.74     | 164.32     | 310.11     | -0.7856  | 0.4153   | -0.4586  | -0.5697  | -0.7747  | 0.2744   | -0.2413  | 0.4768   | 0.8452  
30.0       | 29.20      | 0.80       | 176830   | 217.49     | 166.60     | 309.85     | -0.7602  | 0.4596   | -0.4591  | -0.6088  | -0.7506  | 0.2567   | -0.2266  | 0.4747   | 0.8505  
40.0       | 38.82      | 1.18       | 176984   | 219.71     | 172.17     | 309.21     | -0.6811  | 0.5697   | -0.4598  | -0.7065  | -0.6762  | 0.2088   | -0.1920  | 0.4671   | 0.8631  
50.0       | 49.51      | 0.49       | 177138   | 222.25     | 177.02     | 308.53     | -0.5935  | 0.6618   | -0.4580  | -0.7884  | -0.5925  | 0.1656   | -0.1617  | 0.4594   | 0.8734  
60.0       | 58.89      | 1.11       | 177291   | 223.96     | 179.81     | 308.36     | -0.5404  | 0.7073   | -0.4557  | -0.8283  | -0.5425  | 0.1403   | -0.1480  | 0.4533   | 0.8790  
70.0       | 68.90      | 1.10       | 177445   | 227.50     | 184.67     | 308.09     | -0.4128  | 0.7896   | -0.4540  | -0.9023  | -0.4226  | 0.0854   | -0.1244  | 0.4449   | 0.8869  
60.0       | 59.91      | 0.09       | 177598   | 227.37     | 184.46     | 308.16     | -0.4161  | 0.7890   | -0.4521  | -0.9008  | -0.4254  | 0.0867   | -0.1240  | 0.4433   | 0.8877  
50.0       | 50.00      | 0.00       | 177752   | 226.23     | 182.78     | 308.38     | -0.4458  | 0.7722   | -0.4528  | -0.8857  | -0.4536  | 0.0984   | -0.1294  | 0.4449   | 0.8862  
40.0       | 40.14      | 0.14       | 177906   | 223.43     | 178.98     | 308.65     | -0.5271  | 0.7203   | -0.4510  | -0.8375  | -0.5302  | 0.1320   | -0.1440  | 0.4473   | 0.8827  
30.0       | 30.08      | 0.08       | 178059   | 220.45     | 173.96     | 309.28     | -0.6118  | 0.6487   | -0.4526  | -0.7731  | -0.6114  | 0.1687   | -0.1673  | 0.4532   | 0.8756  
